11202020902,DA1MCZC019-20SB,INTRODUÇÃO À NEUROIMUNOLOGIA A1-Diurno (São Bernardo)
11202020902,DB2BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA B2-Diurno (Santo André)
11202020902,DA1BCN0405-15SB,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A1-Diurno (São Bernardo)
21086413,NA1ESHC028-17SB,ECONOMIA POLÍTICA A1-Noturno (São Bernardo)
21086413,NA1ESHC016-17SB,FINANÇAS CORPORATIVAS A1-Noturno (São Bernardo)
21086413,NA1ESHC026-21SB,MICROECONOMIA II A1-Noturno (São Bernardo)
11202111864,NA1ESZP052-22SB,"GOVERNANÇA, POLÍTICAS PÚBLICAS E RESISTÊNCIA EM TEMPOS DE CRISES MÚLTIPLAS A1-Noturno (São Bernardo)"
11202111864,NA1ESTS006-17SB,"LABORATÓRIO DE GUIAGEM, NAVEGAÇÃO E CONTROLE A1-Noturno (São Bernardo)"
11202111864,NA1ESTO006-17SB,MATERIAIS E SUAS PROPRIEDADES A1-Noturno (São Bernardo)
11202020978,DA1MCTB001-17SA,ÁLGEBRA LINEAR A1-Diurno (Santo André)
11202020978,DAESZG038-17SB,EFICIÊNCIA ENERGÉTICA INDUSTRIAL A-Diurno (São Bernardo)
11202020978,DA1ESTG005-17SB,ENGENHARIA ECONÔMICA APLICADA A SISTEMAS DE GESTÃO A1-Diurno (São Bernardo)
11202020978,DB1BCS0002-15SB,PROJETO DIRIGIDO B1-Diurno (São Bernardo)
11202020978,NAESTU031-17SA,RECUPERAÇÃO DE ÁREAS DEGRADADAS A-Noturno (Santo André)
21025414,NABHQ0004-19SB,ESTUDOS DE GÊNERO A-Noturno (São Bernardo)
21025414,NB2BIN0406-15SB,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA B2-Noturno (São Bernardo)
21025414,NA1ESHP028-22SB,"POLÍTICAS DIGITAIS, DADOS E GESTÃO ALGORÍTMICA A1-Noturno (São Bernardo)"
11202131100,NA1ESZB038-17SB,MODELAGEM E SIMULAÇÃO DO MOVIMENTO HUMANO A1-Noturno (São Bernardo)
11202131100,NA1MCTC020-15SB,PSICOLOGIA EXPERIMENTAL A1-Noturno (São Bernardo)
11111209,NA1NHZ6014-18SA,TRABALHO DE CONCLUSÃO DE CURSO DE BIOTECNOLOGIA A1-Noturno (Santo André)
11201722436,NA1BCK0104-15SB,INTERAÇÕES ATÔMICAS E MOLECULARES A1-Noturno (São Bernardo)
11201722436,NA2ESTO008-17SB,MECÂNICA DOS SÓLIDOS I A2-Noturno (São Bernardo)
11202210015,NB2BCJ0205-15SA,FENÔMENOS TÉRMICOS B2-Noturno (Santo André)
11202210015,NA1NHLB002-23SA,PRÁTICAS DE ENSINO DE BIOLOGIA E APRENDIZAGEM A1-Noturno (Santo André)
11202210015,NA1NHLQ002-22SA,PRÁTICAS DE ENSINO DE QUÍMICA I A1-Noturno (Santo André)
11202210015,NAMCZD010-18SA,SEMINÁRIOS DE PESQUISA EM EDUCAÇÃO MATEMÁTICA II A-Noturno (Santo André)
11045315,ND1ESTO902-17SB,ENGENHARIA UNIFICADA I D1-Noturno (São Bernardo)
11045315,DA1ESTO017-17SB,MÉTODOS EXPERIMENTAIS EM ENGENHARIA A1-Diurno (São Bernardo)
11045315,NA1ESTB024-17SB,MODELAGEM DE SISTEMAS DINÂMICOS II A1-Noturno (São Bernardo)
11202321974,NA3BIS0003-15SB,BASES MATEMÁTICAS A3-Noturno (São Bernardo)
11202321974,NB4BIK0102-15SA,ESTRUTURA DA MATÉRIA B4-Noturno (Santo André)
11202321974,NB1ESTO011-17SB,FUNDAMENTOS DE DESENHO TÉCNICO B1-Noturno (São Bernardo)
11202321479,NB2BIR0004-15SB,BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA B2-Noturno (São Bernardo)
11202321479,NB2BIN0406-15SB,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA B2-Noturno (São Bernardo)
11202321693,NA2BIL0304-15SB,EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA A2-Noturno (São Bernardo)
11202230859,NA1ESHR031-21SB,ECONOMIA POLÍTICA INTERNACIONAL A1-Noturno (São Bernardo)
11202230859,NA2BIN0406-15SB,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A2-Noturno (São Bernardo)
11202230859,DB1ESHR028-21SB,REGIME INTERNACIONAL DOS DIREITOS HUMANOS B1-Diurno (São Bernardo)
11202230859,NA1ESHR015-21SB,SEGURANÇA INTERNACIONAL A1-Noturno (São Bernardo)
11035614,NA1MCTB010-13SA,CÁLCULO VETORIAL E TENSORIAL A1-Noturno (Santo André)
11035614,NB1ESTO015-17SB,MECÂNICA DOS FLUIDOS I B1-Noturno (São Bernardo)
11202230357,NA1BIR0603-15SB,"CIÊNCIA, TECNOLOGIA E SOCIEDADE A1-Noturno (São Bernardo)"
11202230357,DA1ESTO001-17SB,CIRCUITOS ELÉTRICOS E FOTÔNICA A1-Diurno (São Bernardo)
11202230357,DA1BIQ0602-15SB,ESTRUTURA E DINÂMICA SOCIAL A1-Diurno (São Bernardo)
11202230357,DA1BCK0104-15SB,INTERAÇÕES ATÔMICAS E MOLECULARES A1-Diurno (São Bernardo)
11202230357,DA1ESTO006-17SB,MATERIAIS E SUAS PROPRIEDADES A1-Diurno (São Bernardo)
11202230357,DA1BCS0002-15SB,PROJETO DIRIGIDO A1-Diurno (São Bernardo)
11201812123,DAESZG036-17SB,CONCEITOS DE MARKETING A-Diurno (São Bernardo)
11201812123,NAESTG002-17SB,DESENVOLVIMENTO INTEGRADO DO PRODUTO A-Noturno (São Bernardo)
11201722779,DAESZG043-17SB,PROJETO VIRTUAL E INTEGRADO DE MANUFATURA A-Diurno (São Bernardo)
11201920575,NB2BCM0505-22SA,PROCESSAMENTO DA INFORMAÇÃO B2-Noturno (Santo André)
11201920575,NA2BCS0002-15SA,PROJETO DIRIGIDO A2-Noturno (Santo André)
11201922339,DA1ESHP030-22SB,ORÇAMENTO PÚBLICO A1-Diurno (São Bernardo)
